Title,Artist,Language,genre,Period
Don't Let Me Down,The Beatles,English,Variete,1960 Beatles Rolling stones'
Drive My Car,The Beatles,English,Variete,1960 Beatles Rolling stones'
Eight days a week,The Beatles,English,Variete,1960 Beatles Rolling stones'
I saw her standing there,The Beatles,English,Variete,1960 Beatles Rolling stones'
Love Me Do,The Beatles,English,Variete,1960 Beatles Rolling stones'
Nowhere Man,The Beatles,English,Variete,1960 Beatles Rolling stones'
Oh! Darling,The Beatles,English,Variete,1960 Beatles Rolling stones'
Please Please Me,The Beatles,English,Variete,1960 Beatles Rolling stones'
Something,The Beatles,English,Variete,1960 Beatles Rolling stones'
The Long and Winding Road,The Beatles,English,Variete,1960 Beatles Rolling stones'
Twist And Shout,The Beatles,English,Variete,1960 Beatles Rolling stones'
We Can Work It Out,The Beatles,English,Variete,1960 Beatles Rolling stones'
Please Mr. Postman,The Marvelettes,English,Variete,1970'
Dirty old town,The Pogues,English,Variete,1980'
Roxanne,The Police,English,Rock,1970'
Stop in the Name of Love,The Supremes,English,Variete,1960'
Behind blue eyes,The Who,English,Variete,1970'
Dimmi perche,Thomas Dutronc,Italien-Corse,Variete,trad
Plus je t'embrasse,Thomas Dutronc/blossom Dearie,French,wedding,1950 and before'
fortunatu,Toni Toga,French,Variete,trad
Bella ciao,Traditional,Italien-Corse,Variete,trad
Wild Thing,Troggs,English,Variete,1960'
One,U2,English,Pop,1990'
Pride (In the Name of Love),U2,English,Variete,1980'
Sunday Bloody Sunday,U2,English,Pop,1980'
With or without you,U2,English,Pop,1980'
I Got You Babe,Ub40,English,Variete,1960'
Ti Amo,Umberto Tozzi,Italien-Corse,Variete,1970'
Parler damour,Ute Lemper&Art Mango,French,Variete,1990'
Les mots simples,Vanessa Paradis,French,Variete,2010 and after'
Venus in furs,Velvet underground,English,Variete,1960'
Amoureuse,Veronique Sanson,French,Variete,1970'
Bahia,Veronique Sanson,French,Variete,1970'
Besoin de personne,Veronique Sanson,French,Variete,1970'
Chanson pour une drole de vie,Veronique Sanson,French,Variete,1970'
Comme je l'imagine,Veronique Sanson,French,Variete,1970'
Ma reverence,Veronique Sanson,French,Variete,1970'
Quelques mots d'amour,Veronique Sanson,French,Variete,1980'
Une nuit sur son epaule,Veronique Sanson,French,Variete,1970'
Vancouver,Veronique Sanson,French,Variete,1970'
Island in the Sun,Weezer,English,Variete,2000'
Seven Nation Army,White Stripes,English,Rock,2000'
Bad boy,Yseult,French,Variete,2010 and after'
Eblouie Par La Nuit,Zaz,French,Variete,2010 and after'
Je veux,Zaz,French,Variete,2010 and after'
Homme sweet homme,Zazie,French,Variete,1990'
